3500 2000

10 150 1650 //Kolobok
2 500 200 100 100//Portal

0 100 1700 200 100
0 400 1700 300 100
3 630 1680 40 20	//Trampoline
0 800 1500 300 100
1 1200 1500 100 100 1400 1500
0 1600 1500 300 100
0 2000 1500 300 100
0 2000 1700 300 100
0 2400 1700 300 100
3 2630 1680 40 20
0 2700 1300 200 100
1 3000 1300 100 100 3000 950
0 2600 900 300 100
0 2100 900 400 100
0 1600 900 400 100
0 1400 800 100 100
0 1300 700 100 100
0 1200 600 100 100
0 1100 500 100 100
0 800 400 300 100
0 400 300 300 100

//Coins
4 850 1450
4 950 1450
4 1050 1450
4 1650 1450
4 1750 1450
4 1850 1450
4 2050 1450
4 2150 1450
4 2250 1450
4 2050 1650
4 2150 1650
4 2250 1650
4 2650 850
4 2750 850
4 2850 850
4 850 350
4 950 350
4 1050 350


//Drugs
6 1150 450
6 1250 550
6 1350 650
6 1450 750

//Enemies
5 1550 800 50 100
5 2000 800 100 100
5 2500 800 50 100
11 1700 800
12 1700 800
13 1700 800
11 2300 800 
12 2300 800
14 2300 800

