//KolobokGame Level. Created Automatically. Time: [18.01.2014 1:32:28]
5000 1500
12 1982 218
12 2064 216
11 2652 222
11 2710 227
0 0 250 125 75
0 175 250 125 75
0 350 250 125 75
0 525 325 125 75
0 700 400 125 75
1 875 400 125 75 875 250
0 1050 250 50 50
0 1100 225 50 50
0 1150 200 50 50
0 1200 175 50 50
0 1300 125 50 50
0 1350 100 50 50
6 220 220
6 270 220
6 245 195
0 0 0 3625 25
0 3625 0 1375 25
0 4975 25 25 950
0 4975 975 25 525
0 0 25 25 225
0 0 325 25 850
0 0 1175 25 325
0 1475 125 125 75
0 1650 200 100 50
0 1775 250 100 50
0 1925 250 225 50
5 1925 200 25 50
5 2125 200 25 50
0 2225 275 100 50
0 2400 275 400 50
0 2575 75 50 200
3 2450 250 50 25
5 2775 225 25 50
0 2875 275 100 50
0 3000 325 100 50
0 3125 400 100 50
0 3275 450 100 50
0 3675 425 25 25
0 3700 400 25 25
0 3725 375 25 25
0 3700 350 25 25
0 3675 325 25 25
0 3750 350 25 25
0 3775 325 25 25
0 3750 400 25 25
0 3775 425 25 25
0 3850 325 25 25
0 3875 350 25 25
0 3900 375 25 25
0 3875 400 25 25
0 3850 425 25 25
0 3925 350 25 25
0 3950 325 25 25
0 4025 325 25 125
0 4050 400 25 25
0 4075 375 25 25
0 4100 350 25 25
0 4125 325 25 125
2 4075 300 25 25
0 3425 525 100 75
0 3575 600 100 75
0 3725 675 75 50
0 3875 675 75 50
0 4000 675 75 50
0 4125 675 75 50
0 4250 675 75 50
0 4350 625 75 50
1 4450 600 75 50 4250 225
0 4175 275 50 25
10 73 171
