5000 1000

10 50 750 //Kolobok
0 0 800 400 200
0 600 800 400 200
0 1200 800 400 200
0 1700 700 400 300
0 2200 600 400 400
0 2700 600 400 400
0 3200 500 400 500
0 3800 400 400 300
0 4300 300 400 200

2 4500 200 100 100 //Portal

//Coins
4 750 750
4 850 750
4 950 750
4 650 750

4 1250 750
4 1350 750
4 1450 750
4 1550 750

4 1750 650
4 1850 650
4 1950 650
4 2050 650

4 2250 550
4 2350 550
4 2450 550
4 2550 550

4 2750 550
4 2850 550
4 2950 550
4 3050 550

4 3250 450
4 3350 450
4 3450 450
4 3550 450

4 3850 350
4 3950 350
4 4050 350
4 4150 350

//Enemies
5 2200 500 20 100
5 2600 500 20 100
11 2400 500

5 2700 500 20 100
5 3100 500 20 100
12 2900 500

5 3200 400 20 100
5 3600 400 20 100
14 3400 400

5 3800 300 20 100
5 4200 300 20 100
13 4000 300

//Drugs
6 1880 530 20 20
6 2380 430 20 20
